Title,Company,Location,Description,Salary,Date
Index,Title,Company,Location,Description,Salary,Date
"Softwareentwickler BU DRY
(m/w/d)",Starkstrom-Gerätebau GmbH,Regensburg,"Urlaubstage & Sonderurlaub:
Genießen Sie 30 Urlaubstage im
Jahr sowie die Möglichkeit auf
Sonderurlaub, um das Leben in
vollen Zügen zu genießen.",,EmployerAktiv: vor 13 Tagen
Softwareentwickler (m/w/d),mb Support GmbH,Regensburg,"Warentransporte, Gewerbe,
Konzerte, Oldtimer und
Kunstwerke weltweit zu
versichern. Denn bei der mb
Support sind wir davon
überzeugt, dass Vielfalt und…",,Vor > 30 Tagen geschaltet
Softwareentwickler C++ (m/w/d),"ASM Assembly Systems GmbH &
Co. KG",Regensburg,"Mit 12.000 Mitarbeitenden
weltweit sind wir
technologischer Prozesspartner
für die Elektronikindustrie
und brennen für innovative
Automatisierungsstrategien am…",,Vor > 30 Tagen geschaltet
"SOFTWAREENTWICKLER* C++ / QT
NUTZFAHRZEUGE / LANDMASCHINEN",EDAG Engineering GmbH,"Zum Teil im Homeoffice in
Regensburg","Gehen auch Sie den nächsten
Schritt und unterstützen Sie
unser Team. Implementierung
und Optimierung von
bestehenden und neuen
Bereichen wie z.B.",,Vor > 30 Tagen geschaltet
"Softwareentwickler für
Integration und Debugging im
Classic AUTOSAR Umfeld (m/w/d)",AVL,Regensburg,"Fehleranalyse bei der
Entwicklung im Embedded C
Umfeld. Validierung der
AUTOSAR-Basic-Software.
Verantwortung für die
kontinuierliche Integration
und die…",,Vor > 30 Tagen geschaltet
"Softwareentwickler C / C++
(m/w/d)",Bertrandt,93053 Regensburg,"Planung kompletter
Softwareentwicklungen von der
Beurteilung der Machbarkeit,
Studien und Simulationen bis
zur Implementierung.",,Vor 25 Tagen geschaltet
"Softwareentwickler für
Testautomatisierung im Azure
DevOps Umfeld (m/w/d)",Bertrandt,93053 Regensburg,"Entwicklung von Testfällen in
einer offenen Testumgebung
basierend auf Linux. Aufbau
und Umsetzung von
Testfallspezifikationen in
manuell durchgeführte…",,Vor > 30 Tagen geschaltet
"Softwareentwickler C++ oder C#
Tools für Elektromobilität
(m/w/d)",Vector Informatik GmbH,Regensburg,"Basierend auf unserem
Softwaretool CANoe bieten wir
unseren Kunden aus dem
Fahrzeug- und Ladesäulen/Infra
strukturbereich eine
umfassende Toolkette.",,Vor > 30 Tagen geschaltet
"Softwareentwickler Luftfahrt
(w/m/d)",Brunel,Regensburg,"Erfolgreich abgeschlossenes
naturwissenschaftliches oder
technisches Bachelorstudium
Berufliche Qualifikation oder
Erfahrung auf dem Gebiet der
Luft- und…",,Vor 13 Tagen geschaltet
